
         TOKEN TABLE

   LINE          TOKEN TYPE         TOKEN VALUE
      1             KEYWORD            PROGRAMM
      1           DELIMITER                   ;
      3             KEYWORD             integer
      3               IDENT                   N
      3           DELIMITER                   ;
      4               IDENT                   N
      4      OPERATION_SIGN                   =
      4            CONSTANT                  20
      4           DELIMITER                   ;
      6             KEYWORD             integer
      6               IDENT               start
      6           DELIMITER                   ;
      7             KEYWORD             integer
      7               IDENT                step
      7           DELIMITER                   ;
      8               IDENT               start
      8      OPERATION_SIGN                   =
      8            CONSTANT                   1
      8           DELIMITER                   ;
      9               IDENT                step
      9      OPERATION_SIGN                   =
      9            CONSTANT                   2
      9           DELIMITER                   ;
     11             KEYWORD                endl
     11           DELIMITER                   ;
     12             KEYWORD               write
     12           DELIMITER                   (
     12            CONSTANT          "start = "
     12           DELIMITER                   )
     12           DELIMITER                   ;
     13             KEYWORD               write
     13           DELIMITER                   (
     13               IDENT               start
     13           DELIMITER                   )
     13           DELIMITER                   ;
     14             KEYWORD                endl
     14           DELIMITER                   ;
     15             KEYWORD               write
     15           DELIMITER                   (
     15            CONSTANT           "step = "
     15           DELIMITER                   )
     15           DELIMITER                   ;
     16             KEYWORD               write
     16           DELIMITER                   (
     16               IDENT                step
     16           DELIMITER                   )
     16           DELIMITER                   ;
     17             KEYWORD                endl
     17           DELIMITER                   ;
     18             KEYWORD               write
     18           DELIMITER                   (
     18            CONSTANT"number of elements = "
     18           DELIMITER                   )
     18           DELIMITER                   ;
     19             KEYWORD               write
     19           DELIMITER                   (
     19               IDENT                   N
     19           DELIMITER                   )
     19           DELIMITER                   ;
     20             KEYWORD                endl
     20           DELIMITER                   ;
     22             KEYWORD             integer
     22               IDENT                  Sa
     22           DELIMITER                   ;
     23             KEYWORD             integer
     23               IDENT                  Sb
     23           DELIMITER                   ;
     24               IDENT                  Sa
     24      OPERATION_SIGN                   =
     24            CONSTANT                   0
     24           DELIMITER                   ;
     25               IDENT                  Sb
     25      OPERATION_SIGN                   =
     25            CONSTANT                   0
     25           DELIMITER                   ;
     27             KEYWORD             integer
     27               IDENT                   a
     27           DELIMITER                   ;
     28             KEYWORD             integer
     28               IDENT                   i
     28           DELIMITER                   ;
     29               IDENT                   a
     29      OPERATION_SIGN                   =
     29               IDENT               start
     29           DELIMITER                   ;
     31               IDENT                   i
     31      OPERATION_SIGN                   =
     31            CONSTANT                   0
     31           DELIMITER                   ;
     33             KEYWORD               WHILE
     33               IDENT                   i
     33      OPERATION_SIGN                   <
     33               IDENT                   N
     34             KEYWORD                  DO
     35               IDENT                   i
     35      OPERATION_SIGN                   =
     35               IDENT                   i
     35      OPERATION_SIGN                   +
     35            CONSTANT                   1
     35           DELIMITER                   ;
